City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
620,Kayes,ML,84.15,few clouds,14.0,-11.0,
629,Totness,SR,76.05,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
637,Trenggalek,ID,78.1,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
638,Lagunas,PE,79.66,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
643,Muncar,ID,78.87,overcast clouds,-8.4333,114.3333,Zaky Homestay
646,Lakes Entrance,AU,82.58,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
650,Galle,LK,76.23,few clouds,6.0367,80.217,Amangalla
653,Waounde,SN,77.04,broken clouds,15.2637,-12.8682,
658,Teahupoo,PF,80.56,overcast clouds,-17.8333,-149.2667,Vanira Lodge
659,Ca Mau,VN,75.18,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
662,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
663,Kasangulu,CD,79.68,overcast clouds,-4.5911,15.1708,Hôtel le Relais
664,Bulalacao,PH,80.13,few clouds,12.3254,121.3435,By The Sea Hotels
674,Angoche,MZ,76.03,clear sky,-16.2325,39.9086,Guest House HESADA
681,Tambacounda,SN,86.05,broken clouds,13.7539,-13.7586,
691,Puerto Leguizamo,CO,81.77,overcast clouds,-0.1934,-74.7819,la casona de juancho
693,Nabire,ID,78.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
698,Saquena,PE,77.07,overcast clouds,-4.6667,-73.5167,
